Date,ISRG,AMAT,TMUS,TSLA
2016-01-05,0.008348715924954009,0.0010831180745052293,0.032605840201955116,8.951501876963697e-05
2016-01-06,0.0023190271816881936,-0.0411036872262357,-0.004226952112035831,-0.019648196488239345
2016-01-07,-0.029535102492614818,-0.029328571904792655,0.01148588366827874,-0.015476613580219345
2016-01-08,-0.0006705312697391497,-0.024404139997829755,-0.015551854761732709,-0.021562746019443524
2016-01-11,0.0056659709006863235,-0.006551619252982532,-0.005015106503611255,-0.014928912731952182
2016-01-12,0.0047073736382621245,0.004196444401629362,0.009576830668975411,0.01019968109607805
2016-01-13,0.005570666715641659,-0.032835886082158816,-0.03020500839803819,-0.04600657570629507
2016-01-14,0.01949956648526463,0.037654424763555294,0.013899786366879718,0.029304524761110118
2016-01-15,0.002663026268759694,-0.043426565572902254,-0.040619540763374484,-0.005771584676250496
2016-01-19,-0.0013638646293657741,0.023009915940611414,-0.003704414514787202,-0.0013171814898143008
2016-01-20,-0.0034681465408052947,-0.004862918718911535,-0.007702668867539564,-0.02940598345394596
2016-01-21,0.00187534850917781,0.026878193992950772,-0.006959399766770402,0.006391513633018819
2016-01-22,0.018916490448045442,0.01427702686318777,0.020215721627986127,0.012901930307042342
2016-01-25,-0.01393722623283955,-0.008210695703724125,0.001056816075847511,-0.030461596504509303
2016-01-26,-0.023252487063432303,0.02601999810967559,0.0406439416388884,-0.014359893464118478
2016-01-27,-0.020578082377059825,-0.014985766026188285,-0.02358613875134452,-0.028363311180212625
2016-01-28,-0.01391337275610982,-0.023990459125403873,0.004415483986386359,0.00866696594809202
2016-01-29,0.027079917942606224,0.05815311816301261,0.038272625484871536,0.007907252180474389
2016-02-01,0.004271078531755457,0.0,0.010959038934322374,0.030020838930620908
2016-02-02,-0.007014552217154746,-0.033994345812664584,-0.032520329971355455,-0.07190002137704643
2016-02-03,0.01066098813937133,0.014076440017391612,-0.02368213485651427,-0.05088083130264043
2016-02-04,0.012529863600531765,0.016772708841334083,0.009389578081602012,0.010664105137480506
2016-02-05,-0.028427555965438667,-0.0437997842346306,-0.07855300723297498,-0.07260598006471042
2016-02-08,-0.05400566049743383,-0.03688293091940276,-0.04767260054608413,-0.08985239514773324
2016-02-09,0.003035815598972924,-0.005558972092042702,-0.002061098810306028,0.0017568447590106118
2016-02-10,0.0306394735331037,-0.006831939147285193,0.02006492723490294,-0.03089374112383303
2016-02-11,-0.005453712934746058,-0.021888986055502713,-0.0156206711103144,0.04733064290572564
2016-02-12,0.01865594294608508,0.026854054626457957,0.03173709697446303,0.0037881413094784655
2016-02-16,0.0073031044575349036,0.04109600660910928,0.038165546040627385,0.027343852480015807
2016-02-17,0.012519642935616027,0.025119656285495617,0.010973853583988946,0.08706565860035376
2016-02-18,0.001402537962646333,0.0017504329458390977,-0.005970007519438103,-0.011323158733693717
