Date,ISRG,AMAT,TMUS,TSLA
2016-01-04,60.821109771728516,16.421133041381836,37.44975662231445,14.894000053405762
2016-01-05,61.328887939453125,16.438919067382812,38.67083740234375,14.895333290100098
2016-01-06,61.47111129760742,15.763218879699707,38.50737762451172,14.602666854858398
2016-01-07,59.655555725097656,15.30090618133545,38.949668884277344,14.376667022705078
2016-01-08,59.61555480957031,14.92750072479248,38.343929290771484,14.066666603088379
2016-01-11,59.95333480834961,14.82970142364502,38.15163040161133,13.856666564941406
2016-01-12,60.235557556152344,14.89193344116211,38.51700210571289,13.998000144958496
2016-01-13,60.571109771728516,14.40294361114502,37.35359573364258,13.354000091552734
2016-01-14,61.752220153808594,14.94527816772461,37.872802734375,13.745332717895508
2016-01-15,61.91666793823242,14.296256065368652,36.33442687988281,13.666000366210938
2016-01-19,61.83222198486328,14.625211715698242,36.1998291015625,13.64799976348877
2016-01-20,61.61777877807617,14.55409049987793,35.92099380493164,13.24666690826416
2016-01-21,61.733333587646484,14.94527816772461,35.67100524902344,13.33133316040039
2016-01-22,62.9011116027832,15.158652305603027,36.392120361328125,13.50333309173584
2016-01-25,62.024444580078125,15.034189224243164,36.430580139160156,13.092000007629395
2016-01-26,60.58222198486328,15.425378799438477,37.91126251220703,12.904000282287598
2016-01-27,59.33555603027344,15.194217681884766,37.01708221435547,12.538000106811523
2016-01-28,58.5099983215332,14.82970142364502,37.1805305480957,12.646666526794434
2016-01-29,60.094444274902344,15.692094802856445,38.6035270690918,12.74666690826416
2016-02-01,60.351112365722656,15.692094802856445,39.02658462524414,13.129332542419434
2016-02-02,59.92777633666992,15.158652305603027,37.75742721557617,12.185333251953125
2016-02-03,60.56666564941406,15.372032165527344,36.863250732421875,11.565333366394043
2016-02-04,61.325557708740234,15.629862785339355,37.209381103515625,11.688667297363281
2016-02-05,59.58222198486328,14.94527816772461,34.28647232055664,10.84000015258789
2016-02-08,56.364444732666016,14.394052505493164,32.651947021484375,9.866000175476074
2016-02-09,56.53555679321289,14.31403636932373,32.58464813232422,9.883333206176758
2016-02-10,58.26777648925781,14.216243743896484,33.23845672607422,9.57800006866455
2016-02-11,57.95000076293945,13.905064582824707,32.7192497253418,10.031332969665527
2016-02-12,59.03111267089844,14.278471946716309,33.75766372680664,10.06933307647705
2016-02-16,59.462223052978516,14.865260124206543,35.046043395996094,10.344667434692383
2016-02-17,60.206668853759766,15.238670349121094,35.430633544921875,11.245332717895508
2016-02-18,60.29111099243164,15.265344619750977,35.219112396240234,11.118000030517578
