,Importance
returns,0.0454999455855038
ma20,0.1325277151396984
ma50,0.15932719666871345
price_ma20_ratio,0.07167759896664645
price_ma50_ratio,0.09089208501720453
ma20_ma50_ratio,0.08405196097320453
volatility_30,0.10649682145628564
rsi,0.061756983983096564
macd,0.08641888640857966
macd_signal,0.08261551045270124
macd_hist,0.07873529534836571
