Stock,Model,RMSE,MAE,MAPE (%)
ISRG,ARIMA,158.0666,143.1625,28.2871
AMAT,ARIMA,42.0724,32.9181,15.8607
TMUS,ARIMA,64.0379,54.138,23.9163
TSLA,ARIMA,102.6983,83.2508,27.3165
