Date,Signal,Price
2023-12-29,2,154.82748413085938
2024-01-02,2,156.35324096679688
2024-01-03,1,156.51739501953125
2024-01-04,1,156.7298583984375
2024-01-05,0,157.76312255859375
2024-01-08,0,157.80174255371094
2024-01-09,0,157.5989532470703
2024-01-10,1,157.68585205078125
2024-01-11,1,156.60430908203125
2024-01-12,2,156.96160888671875
2024-01-16,2,157.48304748535156
2024-01-17,2,158.63223266601562
2024-01-18,2,159.23095703125
2024-01-19,2,159.49171447753906
2024-01-22,2,158.73846435546875
2024-01-23,2,158.12042236328125
2024-01-24,2,156.4401397705078
2024-01-25,2,156.98092651367188
2024-01-26,2,156.5946502685547
2024-01-29,2,157.49273681640625
2024-01-30,1,156.1504364013672
2024-01-31,2,155.69656372070312
2024-02-01,0,156.9229736328125
2024-02-02,0,156.2277069091797
2024-02-05,0,156.4497833251953
2024-02-06,1,155.4744415283203
2024-02-07,0,156.2277069091797
2024-02-08,1,155.4068603515625
2024-02-09,0,156.6236114501953
2024-02-12,0,156.20838928222656
2024-02-13,0,155.93800354003906
2024-02-14,0,155.88003540039062
2024-02-15,0,156.02491760253906
2024-02-16,0,154.9047088623047
2024-02-20,0,156.48841857910156
2024-02-21,0,158.41978454589844
2024-02-22,0,157.93695068359375
2024-02-23,0,158.69984436035156
2024-02-26,0,158.28460693359375
2024-02-27,0,158.97021484375
2024-02-28,0,158.17837524414062
2024-02-29,0,158.3237762451172
2024-03-01,0,158.39166259765625
2024-03-04,0,158.36257934570312
2024-03-05,0,160.84457397460938
2024-03-06,0,162.31825256347656
2024-03-07,0,159.38058471679688
2024-03-08,0,158.99276733398438
2024-03-11,0,159.7393035888672
2024-03-12,0,158.6922149658203
2024-03-13,0,159.08970642089844
2024-03-14,0,157.89720153808594
2024-03-15,0,156.8791961669922
2024-03-18,0,156.23928833007812
2024-03-19,0,155.84181213378906
2024-03-20,0,156.24900817871094
2024-03-21,0,156.02601623535156
2024-03-22,0,155.71575927734375
2024-03-25,1,156.210205078125
2024-03-26,0,156.1908416748047
2024-03-27,0,157.07308959960938
2024-03-28,0,158.24623107910156
2024-04-01,0,157.71298217773438
2024-04-02,0,157.1409912109375
2024-04-03,0,158.28501892089844
2024-04-04,0,156.68527221679688
2024-04-05,0,156.20054626464844
2024-04-08,0,155.99691772460938
2024-04-09,0,156.09388732910156
2024-04-10,0,155.49276733398438
2024-04-11,0,155.79331970214844
2024-04-12,0,155.17283630371094
2024-04-15,0,154.94984436035156
2024-04-16,0,154.92074584960938
2024-04-17,0,155.21157836914062
2024-04-18,0,155.94845581054688
2024-04-19,0,157.38333129882812
2024-04-22,0,157.41244506835938
2024-04-23,0,158.2753143310547
2024-04-24,0,159.17697143554688
2024-04-25,0,159.05093383789062
2024-04-26,0,158.96368408203125
2024-04-29,0,159.24484252929688
2024-04-30,0,159.1672821044922
2024-05-01,0,160.42767333984375
2024-05-02,0,159.88475036621094
2024-05-03,0,159.58419799804688
2024-05-06,0,157.42210388183594
2024-05-07,0,157.2476043701172
2024-05-08,0,157.8681182861328
2024-05-09,0,159.66172790527344
2024-05-10,0,159.1963653564453
2024-05-13,0,158.3722686767578
2024-05-14,0,157.46092224121094
2024-05-15,0,157.72267150878906
2024-05-16,0,158.59524536132812
2024-05-17,0,159.00247192382812
2024-05-20,0,158.90550231933594
2024-05-21,0,159.35150146484375
2024-05-22,0,160.4567413330078
2024-05-23,0,159.94288635253906
2024-05-24,0,160.9415283203125
2024-05-28,0,162.2115936279297
2024-05-29,0,163.7337646484375
2024-05-30,0,165.49830627441406
2024-05-31,0,170.27687072753906
2024-06-03,0,168.4471893310547
2024-06-04,0,173.1479034423828
2024-06-05,0,175.4447479248047
2024-06-06,0,174.95811462402344
2024-06-07,0,175.00680541992188
2024-06-10,0,175.85350036621094
2024-06-11,0,173.62478637695312
2024-06-12,1,169.13818359375
2024-06-13,1,170.4228515625
2024-06-14,1,171.279296875
2024-06-17,1,172.63209533691406
2024-06-18,1,172.85592651367188
2024-06-20,1,171.71726989746094
2024-06-21,1,171.99948120117188
2024-06-24,1,173.18682861328125
2024-06-25,1,172.87539672851562
2024-06-26,2,171.59072875976562
2024-06-27,1,172.6710205078125
2024-06-28,2,171.46420288085938
2024-07-01,1,174.28659057617188
2024-07-02,1,175.16249084472656
2024-07-03,2,173.68319702148438
2024-07-05,2,174.44232177734375
2024-07-08,2,174.37417602539062
2024-07-09,1,174.2574005126953
2024-07-10,2,175.6880340576172
2024-07-11,2,174.0238037109375
2024-07-12,2,174.73426818847656
2024-07-15,0,176.8851318359375
2024-07-16,2,178.0821990966797
2024-07-17,2,178.64666748046875
2024-07-18,2,177.41065979003906
2024-07-19,2,177.1770782470703
2024-07-22,2,172.6904754638672
2024-07-23,1,171.8340301513672
2024-07-24,1,172.15521240234375
2024-07-25,1,170.45204162597656
2024-07-26,1,170.83163452148438
2024-07-29,1,172.13572692871094
2024-07-30,1,170.6661834716797
2024-07-31,0,177.4009246826172
2024-08-01,0,182.06272888183594
2024-08-02,1,183.70745849609375
2024-08-05,1,181.8680877685547
2024-08-06,0,184.77804565429688
2024-08-07,1,185.48849487304688
2024-08-08,0,188.42767333984375
2024-08-09,1,189.0018768310547
2024-08-12,0,189.73179626464844
2024-08-13,0,190.1016082763672
2024-08-14,0,191.23057556152344
2024-08-15,0,189.4203643798828
2024-08-16,0,191.29869079589844
2024-08-19,0,192.29141235351562
2024-08-20,1,190.9678192138672
2024-08-21,1,190.2281494140625
2024-08-22,1,191.18194580078125
2024-08-23,0,193.26463317871094
2024-08-26,0,195.0651092529297
2024-08-27,0,198.56875610351562
2024-08-28,1,196.01889038085938
2024-08-29,1,194.72447204589844
2024-08-30,1,194.03125
2024-09-03,1,195.7985076904297
2024-09-04,1,194.10934448242188
2024-09-05,1,192.52757263183594
2024-09-06,1,188.44619750976562
2024-09-09,1,190.69192504882812
2024-09-10,2,191.86363220214844
2024-09-11,1,193.85546875
2024-09-12,1,197.63417053222656
2024-09-13,1,198.04425048828125
2024-09-16,0,200.9929962158203
2024-09-17,1,197.91734313964844
2024-09-18,2,192.03936767578125
2024-09-19,1,194.9295196533203
2024-09-20,2,194.73423767089844
2024-09-23,1,197.68299865722656
2024-09-24,1,196.6870574951172
2024-09-25,2,198.512939453125
