Date,Signal,Price
2023-12-29,2,248.47999572753906
2024-01-02,2,248.4199981689453
2024-01-03,2,238.4499969482422
2024-01-04,2,237.92999267578125
2024-01-05,2,237.49000549316406
2024-01-08,2,240.4499969482422
2024-01-09,2,234.9600067138672
2024-01-10,2,233.94000244140625
2024-01-11,0,227.22000122070312
2024-01-12,0,218.88999938964844
2024-01-16,0,219.91000366210938
2024-01-17,0,215.5500030517578
2024-01-18,2,211.8800048828125
2024-01-19,2,212.19000244140625
2024-01-22,2,208.8000030517578
2024-01-23,2,209.13999938964844
2024-01-24,2,207.8300018310547
2024-01-25,2,182.6300048828125
2024-01-26,2,183.25
2024-01-29,2,190.92999267578125
2024-01-30,2,191.58999633789062
2024-01-31,2,187.2899932861328
2024-02-01,2,188.86000061035156
2024-02-02,2,187.91000366210938
2024-02-05,2,181.05999755859375
2024-02-06,2,185.10000610351562
2024-02-07,2,187.5800018310547
2024-02-08,2,189.55999755859375
2024-02-09,0,193.57000732421875
2024-02-12,0,188.1300048828125
2024-02-13,0,184.02000427246094
2024-02-14,0,188.7100067138672
2024-02-15,0,200.4499969482422
2024-02-16,0,199.9499969482422
2024-02-20,0,193.75999450683594
2024-02-21,2,194.77000427246094
2024-02-22,2,197.41000366210938
2024-02-23,2,191.97000122070312
2024-02-26,2,199.39999389648438
2024-02-27,2,199.72999572753906
2024-02-28,2,202.0399932861328
2024-02-29,2,201.8800048828125
2024-03-01,2,202.63999938964844
2024-03-04,2,188.13999938964844
2024-03-05,2,180.74000549316406
2024-03-06,2,176.5399932861328
2024-03-07,1,178.64999389648438
2024-03-08,2,175.33999633789062
2024-03-11,2,177.77000427246094
2024-03-12,2,177.5399932861328
2024-03-13,2,169.47999572753906
2024-03-14,2,162.5
2024-03-15,2,163.57000732421875
2024-03-18,2,173.8000030517578
2024-03-19,2,171.32000732421875
2024-03-20,2,175.66000366210938
2024-03-21,2,172.82000732421875
2024-03-22,2,170.8300018310547
2024-03-25,2,172.6300048828125
2024-03-26,2,177.6699981689453
2024-03-27,2,179.8300018310547
2024-03-28,2,175.7899932861328
2024-04-01,2,175.22000122070312
2024-04-02,2,166.6300048828125
2024-04-03,2,168.3800048828125
2024-04-04,2,171.11000061035156
2024-04-05,2,164.89999389648438
2024-04-08,2,172.97999572753906
2024-04-09,2,176.8800048828125
2024-04-10,2,171.75999450683594
2024-04-11,2,174.60000610351562
2024-04-12,2,171.0500030517578
2024-04-15,2,161.47999572753906
2024-04-16,2,157.11000061035156
2024-04-17,2,155.4499969482422
2024-04-18,2,149.92999267578125
2024-04-19,2,147.0500030517578
2024-04-22,2,142.0500030517578
2024-04-23,2,144.67999267578125
2024-04-24,2,162.1300048828125
2024-04-25,2,170.17999267578125
2024-04-26,2,168.2899932861328
2024-04-29,2,194.0500030517578
2024-04-30,2,183.27999877929688
2024-05-01,2,179.99000549316406
2024-05-02,2,180.00999450683594
2024-05-03,2,181.19000244140625
2024-05-06,2,184.75999450683594
2024-05-07,2,177.80999755859375
2024-05-08,2,174.72000122070312
2024-05-09,0,171.97000122070312
2024-05-10,0,168.47000122070312
2024-05-13,0,171.88999938964844
2024-05-14,0,177.5500030517578
2024-05-15,0,173.99000549316406
2024-05-16,0,174.83999633789062
2024-05-17,0,177.4600067138672
2024-05-20,0,174.9499969482422
2024-05-21,2,186.60000610351562
2024-05-22,2,180.11000061035156
2024-05-23,0,173.74000549316406
2024-05-24,0,179.24000549316406
2024-05-28,1,176.75
2024-05-29,1,176.19000244140625
2024-05-30,1,178.7899932861328
2024-05-31,1,178.0800018310547
2024-06-03,1,176.2899932861328
2024-06-04,1,174.77000427246094
2024-06-05,1,175.0
2024-06-06,1,177.94000244140625
2024-06-07,1,177.47999572753906
2024-06-10,1,173.7899932861328
2024-06-11,1,170.66000366210938
2024-06-12,1,177.2899932861328
2024-06-13,2,182.47000122070312
2024-06-14,1,178.00999450683594
2024-06-17,2,187.44000244140625
2024-06-18,2,184.86000061035156
2024-06-20,2,181.57000732421875
2024-06-21,2,183.00999450683594
2024-06-24,2,182.5800018310547
2024-06-25,2,187.35000610351562
2024-06-26,2,196.3699951171875
2024-06-27,2,197.4199981689453
2024-06-28,2,197.8800048828125
2024-07-01,2,209.86000061035156
2024-07-02,2,231.25999450683594
2024-07-03,2,246.38999938964844
2024-07-05,2,251.52000427246094
2024-07-08,2,252.94000244140625
2024-07-09,2,262.3299865722656
2024-07-10,1,263.260009765625
2024-07-11,2,241.02999877929688
2024-07-12,2,248.22999572753906
2024-07-15,2,252.63999938964844
2024-07-16,2,256.55999755859375
2024-07-17,2,248.5
2024-07-18,2,249.22999572753906
2024-07-19,2,239.1999969482422
2024-07-22,2,251.50999450683594
2024-07-23,2,246.3800048828125
2024-07-24,2,215.99000549316406
2024-07-25,2,220.25
2024-07-26,2,219.8000030517578
2024-07-29,2,232.10000610351562
2024-07-30,2,222.6199951171875
2024-07-31,2,232.07000732421875
2024-08-01,2,216.86000061035156
2024-08-02,2,207.6699981689453
2024-08-05,2,198.8800048828125
2024-08-06,2,200.63999938964844
2024-08-07,0,191.75999450683594
2024-08-08,0,198.83999633789062
2024-08-09,2,200.0
2024-08-12,0,197.49000549316406
2024-08-13,2,207.8300018310547
2024-08-14,2,201.3800048828125
2024-08-15,2,214.13999938964844
2024-08-16,2,216.1199951171875
2024-08-19,2,222.72000122070312
2024-08-20,2,221.10000610351562
2024-08-21,2,223.27000427246094
2024-08-22,2,210.66000366210938
2024-08-23,2,220.32000732421875
2024-08-26,2,213.2100067138672
2024-08-27,2,209.2100067138672
2024-08-28,2,205.75
2024-08-29,2,206.27999877929688
2024-08-30,2,214.11000061035156
2024-09-03,2,210.60000610351562
2024-09-04,2,219.41000366210938
2024-09-05,2,230.1699981689453
2024-09-06,2,210.72999572753906
2024-09-09,2,216.27000427246094
2024-09-10,0,226.1699981689453
2024-09-11,0,228.1300048828125
2024-09-12,0,229.80999755859375
2024-09-13,0,230.2899932861328
