,Importance
returns,0.06497320560869273
ma20,0.11705823668290315
ma50,0.1354467995132543
price_ma20_ratio,0.079732039103122
price_ma50_ratio,0.09175597941643457
ma20_ma50_ratio,0.09082573624279049
volatility_30,0.10003993061844395
rsi,0.06435349049739242
macd,0.0831342057154874
macd_signal,0.09101304417188445
macd_hist,0.08166733242959462
