Date,Signal,Price
2023-12-29,0,337.3599853515625
2024-01-02,2,330.9800109863281
2024-01-03,2,322.1300048828125
2024-01-04,2,323.2699890136719
2024-01-05,2,322.5
2024-01-08,2,328.8599853515625
2024-01-09,2,330.55999755859375
2024-01-10,0,364.45001220703125
2024-01-11,1,362.30999755859375
2024-01-12,1,363.7099914550781
2024-01-16,1,362.3299865722656
2024-01-17,0,358.8800048828125
2024-01-18,0,371.92999267578125
2024-01-19,0,374.82000732421875
2024-01-22,1,375.80999755859375
2024-01-23,1,371.4100036621094
2024-01-24,1,370.07000732421875
2024-01-25,1,374.9700012207031
2024-01-26,1,374.760009765625
2024-01-29,1,379.1600036621094
2024-01-30,1,377.2900085449219
2024-01-31,0,378.2200012207031
2024-02-01,0,383.8299865722656
2024-02-02,0,383.7699890136719
2024-02-05,0,383.94000244140625
2024-02-06,0,389.69000244140625
2024-02-07,0,391.3800048828125
2024-02-08,0,386.94000244140625
2024-02-09,0,388.2200012207031
2024-02-12,0,382.1300048828125
2024-02-13,0,378.8900146484375
2024-02-14,0,381.760009765625
2024-02-15,0,380.1700134277344
2024-02-16,0,378.6300048828125
2024-02-20,0,377.6400146484375
2024-02-21,0,380.2300109863281
2024-02-22,0,389.0799865722656
2024-02-23,0,389.7699890136719
2024-02-26,0,388.2699890136719
2024-02-27,0,386.4599914550781
2024-02-28,0,386.5899963378906
2024-02-29,0,385.6000061035156
2024-03-01,0,397.8999938964844
2024-03-04,0,400.5899963378906
2024-03-05,0,387.32000732421875
2024-03-06,0,388.1600036621094
2024-03-07,0,392.67999267578125
2024-03-08,0,391.8500061035156
2024-03-11,0,378.8999938964844
2024-03-12,0,389.3999938964844
2024-03-13,0,382.989990234375
2024-03-14,0,384.30999755859375
2024-03-15,0,396.2799987792969
2024-03-18,0,392.6199951171875
2024-03-19,0,390.5299987792969
2024-03-20,0,390.3699951171875
2024-03-21,0,391.9599914550781
2024-03-22,0,394.07000732421875
2024-03-25,0,391.7099914550781
2024-03-26,0,397.6300048828125
2024-03-27,0,400.1000061035156
2024-03-28,0,399.0899963378906
2024-04-01,0,394.8699951171875
2024-04-02,0,382.3599853515625
2024-04-03,0,383.4200134277344
2024-04-04,0,378.9200134277344
2024-04-05,0,388.3900146484375
2024-04-08,0,386.92999267578125
2024-04-09,0,390.9599914550781
2024-04-10,0,388.4599914550781
2024-04-11,0,392.260009765625
2024-04-12,0,384.79998779296875
2024-04-15,0,377.3599853515625
2024-04-16,0,378.54998779296875
2024-04-17,0,374.1700134277344
2024-04-18,0,372.6300048828125
2024-04-19,0,366.3399963378906
2024-04-22,0,368.92999267578125
2024-04-23,0,377.0799865722656
2024-04-24,0,375.010009765625
2024-04-25,0,373.1199951171875
2024-04-26,0,375.3299865722656
2024-04-29,0,374.1400146484375
2024-04-30,0,370.6199951171875
2024-05-01,0,371.70001220703125
2024-05-02,0,377.6499938964844
2024-05-03,0,381.3599853515625
2024-05-06,0,383.04998779296875
2024-05-07,0,388.6499938964844
2024-05-08,0,380.3699951171875
2024-05-09,0,385.45001220703125
2024-05-10,0,386.70001220703125
2024-05-13,0,380.8800048828125
2024-05-14,0,384.19000244140625
2024-05-15,0,399.3900146484375
2024-05-16,0,396.42999267578125
2024-05-17,0,398.82000732421875
2024-05-20,0,400.0299987792969
2024-05-21,0,402.1099853515625
2024-05-22,0,400.8999938964844
2024-05-23,0,398.3900146484375
2024-05-24,0,404.8500061035156
2024-05-28,0,401.0299987792969
2024-05-29,0,398.3999938964844
2024-05-30,0,403.3900146484375
2024-05-31,0,402.1199951171875
2024-06-03,0,403.8599853515625
2024-06-04,0,406.6099853515625
2024-06-05,0,417.239990234375
2024-06-06,0,418.1499938964844
2024-06-07,0,417.6099853515625
2024-06-10,0,418.3800048828125
2024-06-11,0,418.7799987792969
2024-06-12,0,428.1000061035156
2024-06-13,0,422.8999938964844
2024-06-14,0,425.7799987792969
2024-06-17,0,430.0
2024-06-18,0,435.0
2024-06-20,1,432.54998779296875
2024-06-21,0,432.55999755859375
2024-06-24,0,429.0400085449219
2024-06-25,0,442.30999755859375
2024-06-26,0,442.55999755859375
2024-06-27,0,445.1099853515625
2024-06-28,0,444.8500061035156
2024-07-01,0,436.239990234375
2024-07-02,0,438.80999755859375
2024-07-03,0,434.80999755859375
2024-07-05,0,443.760009765625
2024-07-08,0,444.5299987792969
2024-07-09,0,442.29998779296875
2024-07-10,0,444.739990234375
2024-07-11,0,443.5
2024-07-12,0,444.1600036621094
2024-07-15,0,437.25
2024-07-16,0,438.010009765625
2024-07-17,0,426.2300109863281
2024-07-18,0,416.1400146484375
2024-07-19,0,455.010009765625
2024-07-22,0,461.1199951171875
2024-07-23,0,455.05999755859375
2024-07-24,0,454.0199890136719
2024-07-25,0,436.739990234375
2024-07-26,0,441.29998779296875
2024-07-29,0,443.6600036621094
2024-07-30,0,432.69000244140625
2024-07-31,0,444.6099853515625
2024-08-01,0,450.94000244140625
2024-08-02,0,449.7300109863281
2024-08-05,0,438.0
2024-08-06,0,447.6600036621094
2024-08-07,0,449.260009765625
2024-08-08,0,463.6099853515625
2024-08-09,0,463.42999267578125
2024-08-12,0,465.5299987792969
2024-08-13,0,469.2300109863281
2024-08-14,0,471.2099914550781
2024-08-15,0,480.1700134277344
2024-08-16,0,478.9800109863281
2024-08-19,0,482.1600036621094
2024-08-20,0,483.2099914550781
2024-08-21,0,487.4200134277344
2024-08-22,0,490.42999267578125
2024-08-23,0,486.54998779296875
2024-08-26,0,479.19000244140625
2024-08-27,0,482.3500061035156
2024-08-28,0,482.2099914550781
2024-08-29,0,487.1700134277344
2024-08-30,0,492.6300048828125
2024-09-03,0,483.44000244140625
2024-09-04,0,481.7300109863281
2024-09-05,0,476.69000244140625
2024-09-06,0,471.82000732421875
2024-09-09,0,479.3900146484375
2024-09-10,0,484.239990234375
2024-09-11,0,490.92999267578125
2024-09-12,0,494.010009765625
2024-09-13,0,489.8599853515625
