,Importance
returns,0.05707654883135077
ma20,0.12496394473182901
ma50,0.13832957931426543
price_ma20_ratio,0.07201424688472118
price_ma50_ratio,0.08221975551100821
ma20_ma50_ratio,0.09486891542544555
volatility_30,0.10709063839728757
rsi,0.07396315442851846
macd,0.085735456277088
macd_signal,0.08293724452112092
macd_hist,0.08080051567736489
